,index,date,UTC_start,UTC_end,Plume_dir,NAM,ECMWF
0,0,08042019,19:11,19:15,W,S,SSW
1,1,09042019,18:52,18:56,W,S,SSW
2,2,13042019,19:18,19:21,W,S,SSW
3,3,14042019,18:59,19:02,W,SSE,SW
4,4,05052019,19:05,19:08,WSW,SSW,SSW
5,5,06052019,19:05,19:08,WSW,SSW,SSW
6,6,21052019,19:05,19:08,NW,SSE,ESE
7,7,25052019,17:52,19:33,W,SE,SE
8,8,02062019,18:40,20:23,NW,NNW,WSW
9,9,03062019,,,,S,S
10,10,07062019,18:46,20:27,WSW,SSE,SSE
11,11,13072019,19:11,19:14,WSW,S,SSW
12,12,08082019,19:23,19:27,NW,S,SE
13,13,20082019,18:58,19:02,WNW,S,SSW
14,14,30082019,19:11,19:14,SW,S,SSW
15,15,31082019,18:52,18:56,WSW,SSE,SSW
16,16,10092019,19:05,19:08,WSW,S,SSW
17,17,25092019,19:24,19:27,E,NE,N
18,18,12112019,19:24,19:27,WSW,SSE,SSW
19,19,19112019,18:52,18:56,W,S,SSW
20,20,31052019,19:17,19:21,E,NNW,NNW
